id,project_name,client_name,manager_id,tl_id,assigned_hours,working_hours,assigned_date,start_date,completed_date,project_status,project_activity_status,soft_delete,remainder_sent_date,modelling_hours,checking_hours,detailing_hours,study_hours,extra_hours,modelling_time,checking_time,detailing_time,study_hours_tracking,extra_hours_tracking
135,Vox Loft,SteelCraft Ltd,1094,,3200.0,3884.26,2024-07-14,2024-07-19,2025-08-23,0,IFA,0,,1280.0,1120.0,800.0,0.0,0.0,1553.7,1359.49,971.07,0.0,0.0
136,Apex2 Build,Pinnacle Projects,1068,,3500.0,2329.5,2024-11-24,2024-12-07,,1,IFA,0,,1400.0,1225.0,875.0,0.0,0.0,931.8,815.32,582.38,0.0,0.0
137,Flux Loft,Paramount Builders,1016,,3500.0,1604.43,2024-11-01,2024-11-11,,1,IFA,0,,1400.0,1225.0,875.0,0.0,0.0,641.77,561.55,401.11,0.0,0.0
138,Pax Loft,Summit Construction,1016,,2875.0,1220.26,2025-10-22,2025-10-30,,1,IFA,0,,1150.0,1006.25,718.75,0.0,0.0,488.1,427.09,305.07,0.0,0.0
139,Solar Grid,Global Infra,1055,,2750.0,1139.23,2025-05-22,2025-06-04,,1,IFA,0,,1100.0,962.5,687.5,0.0,0.0,455.69,398.73,284.81,0.0,0.0
140,Pax Prism,Global Infra,1081,,3000.0,1343.89,2025-03-30,2025-04-06,,1,IFA,0,,1200.0,1050.0,750.0,0.0,0.0,537.56,470.36,335.97,0.0,0.0
141,Vox Span,CoreStruct Ltd,1055,,2750.0,1378.83,2025-09-21,2025-09-26,,1,IFC,0,,1100.0,962.5,687.5,0.0,0.0,551.53,482.59,344.71,0.0,0.0
142,Solar Loft,Global Infra,1094,,3500.0,2188.52,2024-08-20,2024-09-02,,1,IFC,0,,1400.0,1225.0,875.0,0.0,0.0,875.41,765.98,547.13,0.0,0.0
143,Lunar Grid,Summit Construction,1055,,3500.0,2056.38,2025-07-26,2025-07-30,,1,REIFA,0,,1400.0,1225.0,875.0,0.0,0.0,822.55,719.73,514.1,0.0,0.0
144,Lunar Build,Paramount Builders,1003,,3000.0,1658.59,2025-07-08,2025-07-13,,1,IFA,0,,1200.0,1050.0,750.0,0.0,0.0,663.44,580.51,414.64,0.0,0.0
145,Cosmo Arch,NovaBuild Corp,1016,,3500.0,1359.2,2024-06-19,2024-06-22,,1,REIFA,0,,1400.0,1225.0,875.0,0.0,0.0,543.68,475.72,339.8,0.0,0.0
146,Crux Grid,Global Infra,1068,,2500.0,1370.55,2024-06-11,2024-06-15,,1,REIFA,0,,1000.0,875.0,625.0,0.0,0.0,548.22,479.69,342.64,0.0,0.0
147,Aero Arch,BuildFirst Ltd,1003,,3500.0,1932.44,2025-05-14,2025-05-24,,1,REIFA,0,,1400.0,1225.0,875.0,0.0,0.0,772.98,676.35,483.11,0.0,0.0
148,Stellar Block,CoreStruct Ltd,1081,,3000.0,2419.16,2025-02-07,2025-02-16,,1,REIFA,0,,1200.0,1050.0,750.0,0.0,0.0,967.66,846.71,604.79,0.0,0.0
149,Hydro Build,SteelCraft Ltd,1081,,2500.0,802.28,2025-01-28,2025-02-07,,1,REIFA,0,,1000.0,875.0,625.0,0.0,0.0,320.91,280.8,200.57,0.0,0.0
150,Apex2 Grid,BuildFirst Ltd,1042,,2500.0,762.75,2024-10-02,2024-10-12,,1,REIFA,0,,1000.0,875.0,625.0,0.0,0.0,305.1,266.96,190.69,0.0,0.0
